year,month,day,hour,min,sec,ms,id,data
0,0,0,0,7,19,372,0cfff248,0400050007000400
0,0,0,0,7,19,372,0cfff948,0000000000000000
0,0,0,0,7,19,382,0cfff348,0400040004001500
0,0,0,0,7,19,382,0cfffa48,000000000000ffff
0,0,0,0,7,19,392,0cfff448,0000000000000000
0,0,0,0,7,19,392,0cfffb48,0000000000000000
0,0,0,0,7,19,402,0cfff048,000000000e016400
0,0,0,0,7,19,402,0cfffc48,0000000000000000
0,0,0,0,7,19,412,0cfff148,be05be05000000ff
0,0,0,0,7,19,412,0cfffd48,e8035b050004e803
0,0,0,0,7,19,412,0cfffe48,e903e803ffffffff
0,0,0,0,7,19,412,0cffd048,0000000000000000
0,0,0,0,7,19,452,0cfff048,000000000e016400
0,0,0,0,7,19,452,0cfff748,0000000000000000
0,0,0,0,7,19,462,0cfff148,be05be05000000ff
0,0,0,0,7,19,462,0cfff848,00000000e8030000
0,0,0,0,7,19,472,0cfff248,0500050004000500
0,0,0,0,7,19,472,0cfff948,0000000000000000
0,0,0,0,7,19,483,0cfff348,0400040004001500
0,0,0,0,7,19,483,0cfffa48,000000000000ffff
0,0,0,0,7,19,492,0cfff448,0000000000000000
0,0,0,0,7,19,492,0cfffb48,0000000000000000
0,0,0,0,7,19,502,0cfff048,000000000e016400
0,0,0,0,7,19,502,0cfffc48,0000000000000000
0,0,0,0,7,19,512,0cfff148,be05be05000000ff
0,0,0,0,7,19,512,0cfffd48,e8035b050004e803
0,0,0,0,7,19,522,0cfffe48,e903e803ffffffff
0,0,0,0,7,19,532,0cffd048,0000000000000000
0,0,0,0,7,19,552,0cfff048,000000000e016400
0,0,0,0,7,19,552,0cfff748,0000000000000000
0,0,0,0,7,19,562,0cfff148,be05be05000000ff
0,0,0,0,7,19,562,0cfff848,00000000e8030000
0,0,0,0,7,19,572,0cfff248,0400040004000400
0,0,0,0,7,19,572,0cfff948,0000000000000000
0,0,0,0,7,19,582,0cfff348,0400040004001500
0,0,0,0,7,19,582,0cfffa48,000000000000ffff
0,0,0,0,7,19,594,0cfff448,0000000000000000
0,0,0,0,7,19,594,0cfffb48,0000000000000000
0,0,0,0,7,19,602,0cfff048,000000000e016400
0,0,0,0,7,19,602,0cfffc48,0000000000000000
0,0,0,0,7,19,612,0cfff148,be05be05000000ff
0,0,0,0,7,19,612,0cfffd48,e8035b050004e803
0,0,0,0,7,19,622,0cfffe48,e903e803ffffffff
0,0,0,0,7,19,632,0cffd048,0000000000000000
0,0,0,0,7,19,652,0cfff048,000000000e016400
0,0,0,0,7,19,652,0cfff748,0000000000000000
0,0,0,0,7,19,663,0cfff148,be05be05000000ff
0,0,0,0,7,19,663,0cfff848,00000000e8030000
0,0,0,0,7,19,672,0cfff248,0400040006000500
0,0,0,0,7,19,672,0cfff948,0000000000000000
0,0,0,0,7,19,682,0cfff348,0400040004001500
0,0,0,0,7,19,682,0cfffa48,000000000000ffff
0,0,0,0,7,19,692,0cfff448,0000000000000000
0,0,0,0,7,19,692,0cfffb48,0000000000000000
0,0,0,0,7,19,702,0cfff048,000000000e016400
0,0,0,0,7,19,702,0cfffc48,0000000000000000
0,0,0,0,7,19,712,0cfff148,be05be05000000ff
0,0,0,0,7,19,712,0cfffd48,e8035b050004e803
0,0,0,0,7,19,712,0cfffe48,e903e803ffffffff
0,0,0,0,7,19,712,0cffd048,0000000000000000
0,0,0,0,7,19,752,0cfff048,000000000e016400
0,0,0,0,7,19,752,0cfff748,0000000000000000
0,0,0,0,7,19,762,0cfff148,be05be05000000ff
0,0,0,0,7,19,762,0cfff848,00000000e8030000
0,0,0,0,7,19,772,0cfff248,0400040006000500
0,0,0,0,7,19,772,0cfff948,0000000000000000
0,0,0,0,7,19,782,0cfff348,0400040004001500
0,0,0,0,7,19,782,0cfffa48,000000000000ffff
0,0,0,0,7,19,792,0cfff448,0000000000000000
0,0,0,0,7,19,792,0cfffb48,0000000000000000
0,0,0,0,7,19,802,0cfff048,000000000e016400
0,0,0,0,7,19,802,0cfffc48,0000000000000000
0,0,0,0,7,19,812,0cfff148,be05be05000000ff
0,0,0,0,7,19,812,0cfffd48,e8035b050004e803
0,0,0,0,7,19,822,0cfffe48,e903e803ffffffff
0,0,0,0,7,19,832,0cffd048,0000000000000000
0,0,0,0,7,19,852,0cfff048,000000000e016400
0,0,0,0,7,19,852,0cfff748,0000000000000000
0,0,0,0,7,19,862,0cfff148,be05be05000000ff
0,0,0,0,7,19,862,0cfff848,00000000e8030000
0,0,0,0,7,19,872,0cfff248,0500040006000400
0,0,0,0,7,19,872,0cfff948,0000000000000000
0,0,0,0,7,19,882,0cfff348,0400040004001500
0,0,0,0,7,19,882,0cfffa48,000000000000ffff
0,0,0,0,7,19,895,0cfff448,0000000000000000
0,0,0,0,7,19,895,0cfffb48,0000000000000000
0,0,0,0,7,19,902,0cfff048,000000000e016400
0,0,0,0,7,19,902,0cfffc48,0000000000000000
0,0,0,0,7,19,912,0cfff148,be05be05000000ff
0,0,0,0,7,19,912,0cfffd48,e8035b050004e803
0,0,0,0,7,19,922,0cfffe48,e903e803ffffffff
0,0,0,0,7,19,932,0cffd048,0000000000000000
0,0,0,0,7,19,952,0cfff048,000000000e016400
0,0,0,0,7,19,952,0cfff748,0000000000000000
0,0,0,0,7,19,962,0cfff148,be05be05000000ff
0,0,0,0,7,19,962,0cfff848,00000000e8030000
0,0,0,0,7,19,972,0cfff248,0400040004000400
0,0,0,0,7,19,972,0cfff948,0000000000000000
0,0,0,0,7,19,982,0cfff348,0400040004001500
0,0,0,0,7,19,982,0cfffa48,000000000000ffff
0,0,0,0,7,19,992,0cfff448,0000000000000000
0,0,0,0,7,19,992,0cfffb48,0000000000000000
0,0,0,0,7,20,2,0cfff048,000000000e016400
0,0,0,0,7,20,2,0cfffc48,0000000000000000
0,0,0,0,7,20,12,0cfff148,be05be05000000ff
0,0,0,0,7,20,12,0cfffd48,e8035b050004e803
0,0,0,0,7,20,12,0cfffe48,e903e803ffffffff
0,0,0,0,7,20,12,0cffd048,0000000000000000
0,0,0,0,7,20,52,0cfff048,000000000e016400
0,0,0,0,7,20,52,0cfff748,0000000000000000
0,0,0,0,7,20,62,0cfff148,be05be05000000ff
0,0,0,0,7,20,62,0cfff848,00000000e8030000
0,0,0,0,7,20,72,0cfff248,0400040006000400
0,0,0,0,7,20,72,0cfff948,0000000000000000
0,0,0,0,7,20,82,0cfff348,0400040004001500
0,0,0,0,7,20,82,0cfffa48,000000000000ffff
0,0,0,0,7,20,92,0cfff448,0000000000000000
0,0,0,0,7,20,92,0cfffb48,0000000000000000
0,0,0,0,7,20,102,0cfff048,000000000e016400
0,0,0,0,7,20,102,0cfffc48,0000000000000000
0,0,0,0,7,20,112,0cfff148,be05be05000000ff
0,0,0,0,7,20,112,0cfffd48,e8035b050004e803
0,0,0,0,7,20,122,0cfffe48,e903e803ffffffff
0,0,0,0,7,20,132,0cffd048,0000000000000000
0,0,0,0,7,20,152,0cfff048,000000000e016400
0,0,0,0,7,20,152,0cfff748,0000000000000000
0,0,0,0,7,20,162,0cfff148,be05be05000000ff
0,0,0,0,7,20,162,0cfff848,00000000e8030000
0,0,0,0,7,20,172,0cfff248,0400050006000400
0,0,0,0,7,20,172,0cfff948,0000000000000000
0,0,0,0,7,20,182,0cfff348,0400040004001500
0,0,0,0,7,20,182,0cfffa48,000000000000ffff
0,0,0,0,7,20,192,0cfff448,0000000000000000
0,0,0,0,7,20,192,0cfffb48,0000000000000000
0,0,0,0,7,20,202,0cfff048,000000000e016400
0,0,0,0,7,20,202,0cfffc48,0000000000000000
0,0,0,0,7,20,212,0cfff148,be05be05000000ff
0,0,0,0,7,20,212,0cfffd48,e8035b050004e803
0,0,0,0,7,20,222,0cfffe48,e903e803ffffffff
0,0,0,0,7,20,232,0cffd048,0000000000000000
0,0,0,0,7,20,252,0cfff048,000000000e016400
0,0,0,0,7,20,252,0cfff748,0000000000000000
0,0,0,0,7,20,262,0cfff148,be05be05000000ff
0,0,0,0,7,20,262,0cfff848,00000000e8030000
0,0,0,0,7,20,272,0cfff248,0400040007000500
0,0,0,0,7,20,272,0cfff948,0000000000000000
0,0,0,0,7,20,282,0cfff348,0400040004001500
0,0,0,0,7,20,282,0cfffa48,000000000000ffff
0,0,0,0,7,20,292,0cfff448,0000000000000000
0,0,0,0,7,20,292,0cfffb48,0000000000000000
0,0,0,0,7,20,302,0cfff048,000000000e016400
0,0,0,0,7,20,302,0cfffc48,0000000000000000
0,0,0,0,7,20,312,0cfff148,be05be05000000ff
0,0,0,0,7,20,312,0cfffd48,e8035b050004e803
0,0,0,0,7,20,312,0cfff548,ce04a802080700ff
0,0,0,0,7,20,312,0cfffe48,e903e803ffffffff
0,0,0,0,7,20,312,0cfff648,a802a802030432ff
0,0,0,0,7,20,312,0cffd048,0000000000000000
0,0,0,0,7,20,352,0cfff048,000000000e016400
0,0,0,0,7,20,352,0cfff748,0000000000000000
0,0,0,0,7,20,362,0cfff148,be05be05000000ff
0,0,0,0,7,20,362,0cfff848,00000000e8030000
0,0,0,0,7,20,372,0cfff248,0400040005000400
0,0,0,0,7,20,372,0cfff948,0000000000000000
0,0,0,0,7,20,382,0cfff348,0400040004001500
0,0,0,0,7,20,382,0cfffa48,000000000000ffff
0,0,0,0,7,20,392,0cfff448,0000000000000000
0,0,0,0,7,20,392,0cfffb48,0000000000000000
0,0,0,0,7,20,402,0cfff048,000000000e016400
0,0,0,0,7,20,402,0cfffc48,0000000000000000
0,0,0,0,7,20,412,0cfff148,be05be05000000ff
0,0,0,0,7,20,412,0cfffd48,e8035b050004e803
0,0,0,0,7,20,422,0cfffe48,e903e803ffffffff
0,0,0,0,7,20,432,0cffd048,0000000000000000
0,0,0,0,7,20,452,0cfff048,000000000e016400
0,0,0,0,7,20,452,0cfff748,0000000000000000
0,0,0,0,7,20,462,0cfff148,be05be05000000ff
0,0,0,0,7,20,462,0cfff848,00000000e8030000
0,0,0,0,7,20,472,0cfff248,0400040006000400
